41,31,39,black
30,27,34,black
37,42,38,black
44,35,31,black
46,46,41,black
20,20,34,black
18,37,25,black
27,36,23,black
29,20,35,black
20,22,21,black
31,29,40,black
28,30,39,black
30,36,39,black
28,40,31,black
25,29,43,black
40,63,61,black
42,55,48,black
42,51,57,black
47,46,53,black
43,46,62,black
18,26,12,black
2,17,13,black
1,10,12,black
10,12,22,black
2,8,10,black
56,49,47,black
51,44,54,black
55,40,52,black
40,51,41,black
39,41,38,black
0,0,0,black
2,2,0,black
0,0,0,black
0,0,0,black
3,5,0,black
7,0,0,black
3,0,0,black
18,0,4,black
11,4,0,black
13,0,7,black
34,33,27,black
20,28,29,black
30,30,24,black
24,34,41,black
22,25,23,black
31,42,38,black
41,40,47,black
43,40,53,black
44,42,46,black
42,33,43,black
43,24,37,black
31,19,28,black
32,32,29,black
32,30,32,black
36,21,27,black
1,117,189,blue
2,124,194,blue
5,128,199,blue
1,128,183,blue
5,115,197,blue
0,44,149,blue
9,51,134,blue
1,44,142,blue
0,39,136,blue
0,41,136,blue
0,0,249,blue
0,0,255,blue
0,0,254,blue
0,0,255,blue
6,0,255,blue
8,0,255,blue
0,0,247,blue
4,0,247,blue
8,7,255,blue
4,0,253,blue
0,0,145,blue
3,1,163,blue
0,0,144,blue
0,0,148,blue
4,5,161,blue
0,93,182,blue
0,86,192,blue
0,99,187,blue
0,85,197,blue
4,98,179,blue
131,114,130,blue
139,87,142,blue
125,88,150,blue
132,91,146,blue
133,90,136,blue
128,98,131,blue
124,90,137,blue
118,88,156,blue
116,109,145,blue
113,96,130,blue
175,193,191,blue
161,202,210,blue
150,179,190,blue
158,187,195,blue
173,182,190,blue
176,197,197,blue
159,190,186,blue
172,187,205,blue
159,193,201,blue
175,198,198,blue
134,123,110,gray
146,137,112,gray
151,126,111,gray
150,130,134,gray
142,141,117,gray
139,127,136,gray
129,139,118,gray
146,138,135,gray
155,143,125,gray
130,116,117,gray
179,120,170,gray
134,153,184,gray
187,179,123,gray
139,174,114,gray
105,110,162,gray
150,140,162,gray
164,148,100,gray
134,140,195,gray
196,125,125,gray
118,193,180,gray
